french,portuguese
résilier,terminar
résister,resistir
résonner,ressoar
respecter,respeitar
respirer,respirar
ressembler,assemelhar-se
se ressembler,parecer parecido
ressusciter,ressuscitar
restaurer,restaurar
rester,ficar
restituer,restaurar
résulter,resultado do verbo
résumer,resumir
rétablir,restaurar
retarder,atrasar
retirer,remover
retoucher,retocar
retourner,retornar
se retourner,virar
rétrécir,encolher
retrouver,encontrar
réunir,reunir
se réunir,juntar-se
réussir,ter sucesso
revalider,revalidar
réveiller,acordar
se réveiller,acordar
révéler,revelar
revendiquer,reivindicar
rêver,sonhar
réviser,revisar
révolutionner,revolucionar
révoquer,revogar
rider,cavalgar
ridiculiser,ridicularizar
rigoler,rir
rincer,enxaguar
riposter,retaliar
risquer,arriscar
rivaliser,competir
roder,cavalgar
rompre,quebrar
se rompre,quebrar
ronchonner,resmungar
ronfler,roncar
ronger,roer
rôtir,assar
roucouler,coo
rougir,corar
rouiller,enferrujar
rouler,rolar
roussir,queimar
rugir,rugir
ruiner,arruinar
ruisseler,gotejar
ruminer,ruminar
saboter,sabotar
sacrifier,sacrificar
saigner,sangrar
saisir,aproveitar
saler,salgar
saluer,cumprimentar
sanctionner,sancionar
sangloter,soluçar
satiriser,satirizar
saturer,saturar
sauter,pular
sautiller,pular
sauvegarder,salvar
sauver,salvar
savourer,saborear
scander,escanear
scanner,escanear
scier,ver
scintiller,brilhar
sculpter,esculpir
se brosser,escovar
sécher,secar
secouer,agitar
séculariser,secularizar
segmenter,segmentar
séjourner,ficar
sélectionner,selecionar
sembler,parecer
semer,semear
séparer,separar
se séparer,separar
séquestrer,sequestrar
serrer,apertar
siffler,assobiar
signaler,relatar
signer,sinalizar
signifier,significar
simplifier,simplificar
simuler,simular
situer,localizar
se situer,localizar
skier,esquiar
socialiser,socializar
soigner,cuidar
solliciter,solicitar
sombrer,afundar
sommer,somar
songer,sonhar
sonner,tocar
se soucier,cuidar
souder,soldar
souffler,soprar
souhaiter,desejar
souiller,contaminar
soulager,aliviar
se soûler,ficar bêbado
soulever,levantar
souligner,enfatizar
soupçonner,suspeitar
souper,ceia
soupirer,suspirar
spécialiser,especializar
se spécialiser,especializar
spécifier,especificar
spéculer,especular
stabiliser,estabilizar
standardiser,padronizar
stationner,estacionar
stériliser,esterilizar
stigmatiser,estigmatizar
stimuler,estimular
stipuler,estipular
stocker,armazenar
stresser,enfatizar
stupéfier,surpreender
subhaster,subhaster
subir,sofrer
subjuguer,subjugar
submerger,submergir
subordonner,subordinado
suborner,subornar
substituer,substituir
succéder,ter sucesso
succomber,sucumbir
sucer,chupar
suer,suar
suffoquer,sufocar
suggérer,sugerir
superviser,supervisionar
suppléer,complementar
supplier,implorar
supporter,apoiar
supposer,supor
supprimer,remover
surfer,surfar
surgir,surgir
surmonter,superar
surpasser,superar
surveiller,monitorar
survoler,pairar
susciter,despertar
suspecter,suspeitar
suspendre,suspender
sustenter,sustentar
susurrer,sussurrar
syllaber,silabificar
symboliser,simbolizar
sympathiser,simpatizar
synchroniser,sincronizar
syncoper,sincopar
syndiquer,sindicalizar
synthétiser,sintetizar
systématiser,sistematizar
tâcher,para tarefa
se tacher,manchar
tamiser,peneirar
tanner,bronzear
taper,digitar
tapoter,tocar
tarder,atrasar
tartiner,espalhar
tatouer,tatuar
taxer,tributar
teinter,tingir
télécharger,baixar verbo
télégraphier,telegrafar
téléphoner,telefonar
tempérer,temperar
tendre,terno
se tenir,ficar de pé
tenter,tentar
terminer,terminar
terrifier,aterrorizar
terroriser,aterrorizar
tester,testar
tirer,puxar
tisser,tecer
tolérer,tolerar
tomber,cair
tondre,cortar
tonner,trovejar
tordre,torcer
torturer,torturar
toucher,tocar
tourmenter,atormentar
tourner,virar
se tourner,virar
tousser,tossir
tracer,rastrear
trahir,trair
traiter,tratar
tramer,tramer
transférer,transfererir
transformer,transformar
transgresser,transgredir
transpirer,suar
transplanter,transplantar
transporter,transportar
traquer,rastrear
traumatiser,traumatizar
travailler,trabalhar
traverser,cruzar
trébucher,tropeçar
trembler,tremer
tremper,molhar
tressaillir,recuar
trianguler,triangular
tricher,trapacear
tricoter,tricotar
trinquer,torrar
triompher,triunfar
triturer,moer
tromper,enganar
se tromper,estar errado
trotter,trotar
troubler,perturbar
trouver,encontrar
se trouver,encontrar
truquer,fingir
tuer,matar
tutoyer,tutoyer
unifier,unificar
unir,unir
urbaniser,urbanizar
uriner,urinar
user,usar
utiliser,uso do verbo
vacciner,vacinar
vaciller,vacilar
vaguer,vacilar
vaincre,derrotar
valider,validar
vanter,vangloriar-se
vaporiser,pulverizar
varier,variar
végéter,vegetar
veiller,observar
vendre,vender
vénérer,venerar
venger,vingar
ventiler,ventilar
verbaliser,verbalizar
verdir,para verde
vérifier,verificação de verbo
verser,derramar
vibrer,vibrar
vicier,viciar verbo
vider,esvaziar
vieillir,envelhecer
violer,violar
virer,virar
viser,mirar
visiter,visitar
visualiser,visualizar
vitaliser,vitalizar
vocaliser,vocalizar
voiler,velar
voler,voar
voleter,vibrar
vomir,vomitar
voter,votar
vouvoyer,vouvoyer
voyager,viajar
zigzaguer,ziguezaguear
